iteration,feature_selector,classification_model,best_model_n_features,selected_features,best_params,accuracy_train,precision_train,recall_train,f1_train,accuracy_test,precision_test,recall_test,f1_test,false_negative_test,false_positive_test
33,Logit,XGB,6,"Pattern_472 (0.6513),Pattern_1544 (0.1738),Pattern_452 (0.0738),Pattern_585 (0.0529),Pattern_920 (0.0413),Pattern_330 (0.0069)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:6",0.859375,0.7948717948717948,0.7560975609756098,0.7749999999999999,0.84375,0.7777777777777778,0.7,0.7368421052631577,"FM14,E30,E34","MSK813,UWM1206"
34,Logit,XGB,8,"Pattern_1544 (0.4196),Pattern_1622 (0.3279),Pattern_472 (0.1937),Pattern_727 (0.0264),Pattern_585 (0.0112),Pattern_330 (0.0081),Pattern_762 (0.0066),Pattern_2669 (0.0065)","classifier__colsample_bytree:0.75,classifier__learning_rate:0.1,classifier__max_depth:2,feature_selector__n_features:8",0.859375,0.8484848484848485,0.6829268292682927,0.7567567567567567,0.84375,0.7777777777777778,0.7,0.7368421052631577,"MSK2191,E32,CDC344","UWM1206,MSK814"
35,Logit,XGB,4,"Pattern_330 (0.4738),Pattern_1544 (0.4465),Pattern_727 (0.0765),Pattern_585 (0.0033)","classifier__colsample_bytree:0.75,classifier__learning_rate:0.3,classifier__max_depth:4,feature_selector__n_features:4",0.859375,0.8108108108108109,0.7317073170731707,0.7692307692307694,0.78125,0.6666666666666666,0.6,0.631578947368421,"UWM1207,E7,E34,CDC344","UWM1206,E1,MSK814"
36,Logit,XGB,2,"Pattern_920 (0.6877),Pattern_452 (0.3123)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:2",0.8515625,0.775,0.7560975609756098,0.7654320987654322,0.75,0.6,0.6,0.6,"GL122,E7,MSK2384,E32","E39,E27,E1,E59"
37,Logit,XGB,6,"Pattern_585 (0.5102),Pattern_1544 (0.2160),Pattern_1525 (0.1209),Pattern_727 (0.0704),Pattern_452 (0.0558),Pattern_330 (0.0267)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:6",0.8359375,0.7777777777777778,0.6829268292682927,0.7272727272727273,0.875,0.8,0.8,0.8000000000000002,"CDC344,E32","E27,MSK814"
38,Logit,XGB,4,"Pattern_1544 (0.9456),Pattern_585 (0.0409),Pattern_472 (0.0118),Pattern_727 (0.0017)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.03,classifier__max_depth:2,feature_selector__n_features:4",0.859375,0.8108108108108109,0.7317073170731707,0.7692307692307694,0.84375,0.7777777777777778,0.7,0.7368421052631577,"E34,MSK2191,E36","E1,MSK813"
39,Logit,XGB,6,"Pattern_1544 (0.7921),Pattern_1622 (0.1187),Pattern_452 (0.0508),Pattern_727 (0.0191),Pattern_472 (0.0155),Pattern_920 (0.0038)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.03,classifier__max_depth:2,feature_selector__n_features:6",0.84375,0.7837837837837838,0.7073170731707317,0.7435897435897435,0.875,0.8,0.8,0.8000000000000002,"MSK2199,E32","E1,MSK814"
40,Logit,XGB,10,"Pattern_1544 (0.4065),Pattern_1622 (0.2500),Pattern_472 (0.1899),Pattern_559 (0.0577),Pattern_452 (0.0554),Pattern_1145 (0.0221),Pattern_585 (0.0063),Pattern_920 (0.0061),Pattern_330 (0.0059),Pattern_635 (0.0000)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.03,classifier__max_depth:4,feature_selector__n_features:10",0.8671875,0.8333333333333334,0.7317073170731707,0.7792207792207793,0.84375,0.7777777777777778,0.7,0.7368421052631577,"MSK2199,GL62,E46","MSK1666,E12"
41,Logit,XGB,8,"Pattern_1544 (0.8883),Pattern_452 (0.0833),Pattern_727 (0.0172),Pattern_2669 (0.0063),Pattern_472 (0.0036),Pattern_920 (0.0012),Pattern_1525 (0.0002),Pattern_585 (0.0000)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.03,classifier__max_depth:2,feature_selector__n_features:8",0.8828125,0.8421052631578947,0.7804878048780488,0.810126582278481,0.71875,0.5454545454545454,0.6,0.5714285714285713,"MSK2199,E54,FM14,UWM1207","UWM1206,MSK1666,MSK620,E12,CDC339"
42,Logit,XGB,2,"Pattern_472 (0.5911),Pattern_1544 (0.4089)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:2",0.84375,0.7692307692307693,0.7317073170731707,0.7499999999999999,0.84375,1.0,0.5,0.6666666666666666,"E46,E36,MSK2384,E34,UWM1207",
43,Logit,XGB,2,"Pattern_472 (0.5920),Pattern_1544 (0.4080)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:2",0.84375,0.7837837837837838,0.7073170731707317,0.7435897435897435,0.84375,0.7272727272727273,0.8,0.761904761904762,"E32,GL79","MSK814,MSK800,UWM1206"
44,Logit,XGB,10,"Pattern_1544 (0.6180),Pattern_472 (0.1940),Pattern_1622 (0.0659),Pattern_920 (0.0482),Pattern_2669 (0.0221),Pattern_452 (0.0125),Pattern_1525 (0.0117),Pattern_330 (0.0109),Pattern_585 (0.0086),Pattern_727 (0.0080)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:10",0.8671875,0.8333333333333334,0.7317073170731707,0.7792207792207793,0.875,1.0,0.6,0.7499999999999999,"E34,E32,E36,GL62",
45,Logit,XGB,10,"Pattern_1544 (0.6790),Pattern_585 (0.1817),Pattern_1622 (0.0599),Pattern_1145 (0.0184),Pattern_727 (0.0167),Pattern_2669 (0.0150),Pattern_472 (0.0147),Pattern_330 (0.0075),Pattern_559 (0.0049),Pattern_635 (0.0022)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:10",0.875,0.8571428571428571,0.7317073170731707,0.7894736842105263,0.84375,0.8571428571428571,0.6,0.7058823529411764,"E54,CDC344,MSK2199,MSK807",UWM1206
46,Logit,XGB,10,"Pattern_1622 (0.4063),Pattern_1544 (0.1915),Pattern_472 (0.1720),Pattern_920 (0.1451),Pattern_2669 (0.0468),Pattern_452 (0.0167),Pattern_2692 (0.0074),Pattern_330 (0.0072),Pattern_2264 (0.0044),Pattern_585 (0.0026)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:10",0.8828125,0.8823529411764706,0.7317073170731707,0.8,0.8125,0.75,0.6,0.6666666666666665,"E36,GL62,E38,FM14","MSK620,MSK1666"
47,Logit,XGB,2,"Pattern_1544 (0.5728),Pattern_472 (0.4272)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:2",0.859375,0.7804878048780488,0.7804878048780488,0.7804878048780488,0.78125,1.0,0.3,0.4615384615384615,"FM14,GL122,GL62,MSK2199,MSK2384,MSK807,UWM1207",
48,Logit,XGB,6,"Pattern_1544 (0.4919),Pattern_1622 (0.2859),Pattern_452 (0.1405),Pattern_920 (0.0375),Pattern_330 (0.0312),Pattern_472 (0.0131)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.1,classifier__max_depth:4,feature_selector__n_features:6",0.859375,0.8108108108108109,0.7317073170731707,0.7692307692307694,0.8125,0.6666666666666666,0.8,0.7272727272727272,"E32,E7","UWM1196,E59,MSK814,CDC339"
49,Logit,XGB,2,"Pattern_472 (0.6054),Pattern_452 (0.3946)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:2",0.8359375,0.7777777777777778,0.6829268292682927,0.7272727272727273,0.875,0.875,0.7,0.7777777777777777,"E46,GL122,E54",MSK620
